task,target,feature_count,best_iteration,training_seconds,test_mae,test_median_absolute_error,test_rmse,test_r2,threshold,validation_f1,test_average_precision,test_roc_auc,test_precision,test_recall,test_f1,test_point_fpr,event_detection_rate,median_warning_lead_hours
regression,rul_hours,728,998,60.70022759999847,2.1876509189605713,1.5306053161621094,3.2481240947487975,0.9930388331413269,,,,,,,,,,
classification,failure_within_4h,728,594,30.037091000005603,,,,,0.6227655410766602,0.96191452991453,0.9947744395236097,0.9998346421006137,0.9471934025006651,0.977085620197585,0.9619073348642442,0.0017093133899085927,1.0,4.0
classification,failure_within_2h,728,465,23.738613599998644,,,,,0.6104410290718079,0.9250364866657822,0.9832703097364447,0.999739168307588,0.8894972623195619,0.9690889370932755,0.9275888917726447,0.0018824965975145957,1.0,2.0
classification,failure_within_1h,728,513,26.424517799983732,,,,,0.7830277681350708,0.8963703314045239,0.9647654284608463,0.999732350213379,0.8570057581573897,0.9459745762711864,0.8992950654582075,0.0012539079429598119,1.0,1.0
